piezometer_id,cluster_id,window_months,date,rolling_groundwater_level,SGI_normal_score
II/1065/1,3,3,1994-06-01,76.81,0.26228276539162176
II/1065/1,3,3,1994-07-01,76.88333333333333,0.3529339861269166
II/1065/1,3,3,1994-08-01,76.92999999999999,0.5729675484954635
II/1065/1,3,3,1994-09-01,76.98,0.7835003753897741
II/1065/1,3,3,1994-10-01,77.42,1.191816171681394
II/1065/1,3,3,1994-11-01,77.41,1.382994127100638
II/1065/1,3,3,1994-12-01,77.39999999999999,1.191816171681394
II/1065/1,3,3,1995-06-01,77.72,1.171546171302762
II/1065/1,3,3,1995-07-01,77.10666666666667,0.87916771844457
II/1065/1,3,3,1995-08-01,77.01666666666667,0.9027347916438648
II/1065/1,3,3,1995-09-01,76.92666666666666,0.5729675484954635
II/1065/1,3,3,1995-10-01,76.90666666666668,0.5729675484954635
II/1065/1,3,3,1995-11-01,76.95666666666666,0.6744897501960817
II/1065/1,3,3,1995-12-01,76.97333333333334,0.7279132908816444
II/1065/1,3,3,1996-01-01,76.96666666666665,0.7582925569911514
II/1065/1,3,3,1996-02-01,76.91333333333333,0.87916771844457
II/1065/1,3,3,1996-03-01,76.86666666666667,0.619306769508776
II/1065/1,3,3,1996-04-01,76.82666666666667,0.4822482148379233
II/1065/1,3,3,1996-05-01,76.83999999999999,0.44842548330593485
II/1065/1,3,3,1996-06-01,76.88,0.3529339861269166
II/1065/1,3,3,1996-07-01,76.93,0.446588204506179
II/1065/1,3,3,1996-08-01,76.96333333333332,0.6744897501960817
II/1065/1,3,3,1996-09-01,77.01666666666667,0.9027347916438648
II/1065/1,3,3,1996-10-01,77.03,0.7835003753897741
II/1065/1,3,3,1996-11-01,77.02,0.7835003753897741
II/1065/1,3,3,1996-12-01,76.97333333333334,0.7279132908816444
II/1065/1,3,3,1997-01-01,76.91333333333333,0.647603582924978
II/1065/1,3,3,1997-02-01,76.83,0.3529339861269166
II/1065/1,3,3,1997-03-01,76.75,0.04477617669551638
II/1065/1,3,3,1997-04-01,76.71666666666667,-0.09297184856107375
II/1065/1,3,3,1997-05-01,76.72333333333333,-0.04822307355592209
II/1065/1,3,3,1997-06-01,76.71333333333332,-0.1737410619117729
II/1065/1,3,3,1997-07-01,76.66333333333333,-0.35293398612691645
II/1065/1,3,3,1997-08-01,76.59333333333332,-0.29673783825989797
II/1065/1,3,3,1997-09-01,76.54,-0.29673783825989797
II/1065/1,3,3,1997-10-01,76.50333333333333,-0.3406948270877956
II/1065/1,3,3,1997-11-01,76.49333333333334,-0.29673783825989797
II/1065/1,3,3,1997-12-01,76.51666666666667,-0.2104283942479247
II/1065/1,3,3,1998-01-01,77.17,1.0144987457841006
II/1065/1,3,3,1998-02-01,77.19666666666667,1.0144987457841006
II/1065/1,3,3,1998-03-01,77.22666666666667,0.9915264746773306
II/1065/1,3,3,1998-04-01,76.67,-0.38032564176363115
II/1065/1,3,3,1998-05-01,76.74333333333333,0.14512094121077412
II/1065/1,3,3,1998-06-01,76.74,0.08654336791501585
II/1065/1,3,3,1998-07-01,76.67999999999999,-0.1737410619117729
II/1065/1,3,3,1998-08-01,76.62666666666667,-0.2104283942479247
II/1065/1,3,3,1998-09-01,76.60000000000001,-0.2104283942479247
II/1065/1,3,3,1998-10-01,76.61,-0.0417892978164538
II/1065/1,3,3,1998-11-01,76.61666666666666,-0.0417892978164538
II/1065/1,3,3,1998-12-01,76.62333333333332,0.04178929781645395
II/1065/1,3,3,1999-01-01,76.60666666666667,0.0
II/1065/1,3,3,1999-02-01,76.63,-0.08654336791501599
II/1065/1,3,3,1999-03-01,76.83333333333333,0.514156100744534
II/1065/1,3,3,1999-04-01,77.14333333333333,0.967421566101701
II/1065/1,3,3,1999-05-01,77.48333333333333,1.1048357439621106
II/1065/1,3,3,1999-06-01,77.66666666666667,1.0144987457841006
II/1065/1,3,3,1999-07-01,77.66666666666667,1.171546171302762
II/1065/1,3,3,1999-08-01,77.57000000000001,1.382994127100638
II/1065/1,3,3,1999-09-01,77.42,1.191816171681394
II/1065/1,3,3,1999-10-01,77.35666666666667,0.9027347916438648
II/1065/1,3,3,1999-11-01,77.30666666666667,0.9027347916438648
II/1065/1,3,3,1999-12-01,77.28000000000002,1.0364333894937898
II/1065/1,3,3,2000-01-01,77.25333333333333,1.171546171302762
II/1065/1,3,3,2000-02-01,77.25,1.171546171302762
II/1065/1,3,3,2000-03-01,77.26666666666667,1.1503493803760079
II/1065/1,3,3,2000-04-01,77.31333333333333,1.1281436452787637
II/1065/1,3,3,2000-05-01,77.30666666666667,0.9420757749957758
II/1065/1,3,3,2000-06-01,77.24,0.7582925569911514
II/1065/1,3,3,2000-07-01,77.09333333333333,0.7582925569911514
II/1065/1,3,3,2000-08-01,76.97666666666666,0.7835003753897741
II/1065/1,3,3,2000-09-01,76.93666666666667,0.6744897501960817
II/1065/1,3,3,2000-10-01,76.93666666666667,0.6744897501960817
II/1065/1,3,3,2000-11-01,76.92,0.5729675484954635
II/1065/1,3,3,2000-12-01,76.89333333333333,0.5729675484954635
II/1065/1,3,3,2001-01-01,76.87333333333333,0.446588204506179
II/1065/1,3,3,2001-02-01,76.89666666666666,0.647603582924978
II/1065/1,3,3,2001-03-01,76.93333333333334,0.8544473986959894
II/1065/1,3,3,2001-04-01,77.03333333333335,0.8284646485811346
II/1065/1,3,3,2001-05-01,77.15,0.80109452928195
II/1065/1,3,3,2001-06-01,77.24000000000001,0.87916771844457
II/1065/1,3,3,2001-07-01,77.27,1.0144987457841006
II/1065/1,3,3,2001-08-01,77.28333333333333,1.0364333894937898
II/1065/1,3,3,2001-09-01,77.32333333333332,1.0364333894937898
II/1065/1,3,3,2001-10-01,77.36,1.0364333894937898
II/1065/1,3,3,2001-11-01,77.39333333333333,1.191816171681394
II/1065/1,3,3,2001-12-01,77.43333333333334,1.382994127100638
II/1065/1,3,3,2002-01-01,77.5,1.3644887481703287
II/1065/1,3,3,2002-02-01,77.58666666666666,1.3644887481703287
II/1065/1,3,3,2002-03-01,77.74,1.3451666341766395
II/1065/1,3,3,2002-04-01,77.94666666666666,1.59321881802305
II/1065/1,3,3,2002-05-01,78.05666666666667,1.5744449652170427
II/1065/1,3,3,2002-06-01,78.03333333333335,2.1143807715275598
II/1065/1,3,3,2002-07-01,77.97000000000001,2.1143807715275598
II/1065/1,3,3,2002-08-01,77.94,1.6448536269514722
II/1065/1,3,3,2002-09-01,77.91666666666667,1.6448536269514722
II/1065/1,3,3,2002-10-01,77.86666666666667,1.6448536269514722
II/1065/1,3,3,2002-11-01,77.87,1.6448536269514722
II/1065/1,3,3,2002-12-01,77.91666666666667,1.6448536269514722
II/1065/1,3,3,2003-01-01,77.96999999999998,1.6283614067169068
II/1065/1,3,3,2003-02-01,77.96333333333332,1.6283614067169068
II/1065/1,3,3,2003-03-01,77.94333333333334,1.6111691623526765
II/1065/1,3,3,2003-04-01,77.91666666666667,1.324957688892978
II/1065/1,3,3,2003-05-01,77.91666666666667,1.3037826721034866
II/1065/1,3,3,2003-06-01,77.89333333333333,1.3644887481703287
II/1065/1,3,3,2003-07-01,77.89333333333333,1.6283614067169068
II/1065/1,3,3,2003-08-01,77.94333333333333,2.128045234184983
