date,SPI3_ZALESIE,SPI3_TRZEMESZNO,SPI3_PAKOŚĆ,SPI3_JAKSICE,SPI3_GĘBICE,SPI3_MEAN,SPI6_ZALESIE,SPI6_TRZEMESZNO,SPI6_PAKOŚĆ,SPI6_JAKSICE,SPI6_GĘBICE,SPI6_MEAN,SPI12_ZALESIE,SPI12_TRZEMESZNO,SPI12_PAKOŚĆ,SPI12_JAKSICE,SPI12_GĘBICE,SPI12_MEAN
1986-01-01,,,,,,,,,,,,,,,,,,
1986-02-01,,,,,,,,,,,,,,,,,,
1986-03-01,-0.03954404310250253,-1.089536018196877,-0.4641932283258119,-0.1876663169453891,-0.577972914528028,-0.5419689666846391,,,,,,,,,,,,
1986-04-01,-1.433786077788731,-0.6656123611732234,-0.6494155174285978,-1.447949472030375,-0.8469249453794401,-1.288814557717418,,,,,,,,,,,,
1986-05-01,-0.3128579770750274,0.3239675976396557,0.04199201822917951,-0.5206182608374873,0.5851698647305607,-0.08667031897976459,,,,,,,,,,,,
1986-06-01,0.9808373489245359,0.2088104105913154,-0.1691415091321871,-0.4253872148867706,0.9633835667535312,0.5006046552643443,0.7460134194299368,-0.4781566875290711,-0.4490143644394168,-0.5566361587657583,0.5035137883013397,0.103286632345292,,,,,,
1986-07-01,1.107933956560368,-0.2267344310111793,-0.686708133435732,-0.6273142583356227,0.613589787255756,0.1656046233559365,0.3678658203654697,-0.520755022925762,-1.036568005777299,-1.231461088113627,0.2469877944832381,-0.4652355045187411,,,,,,
1986-08-01,1.364083060540461,-0.3405947742871091,-0.1466262188324964,-0.2562551465728578,0.4208476668712651,0.4227321044726221,0.8165396235014786,-0.1919085232318539,-0.1903875193676313,-0.552116856416686,0.5953914023187582,0.2624432640766059,,,,,,
1986-09-01,0.1657852895227819,-0.347354201151732,0.008535741792939701,-0.239031050488661,0.2063729188554529,-0.09671724107529688,0.6701720081791601,-0.1841123221350313,-0.1291502421375913,-0.5052094632734692,0.6244964495117378,0.1879368137188926,,,,,,
1986-10-01,0.1828497233551284,-0.1912145508436723,0.3708217900075376,0.08352794713644048,0.2675260445457771,0.144032883662477,0.7712998303068483,-0.3539146484966268,-0.2883142359889196,-0.4831353114825296,0.5715138126815131,0.1442983609141108,,,,,,
1986-11-01,-1.304779215453336,-0.6768502873407604,-0.3894627850094813,-0.6938478959397449,-0.2032835898051104,-0.785159457444112,0.5145737998756789,-0.6662447657765298,-0.3695756339345983,-0.5564503117026112,0.1597100110841265,-0.1615742589910907,,,,,,
1986-12-01,0.6123434096379822,0.0562973346304204,0.5858501472493849,0.3231552963568873,0.5532258134560327,0.4836550520545588,0.3538390526214734,-0.3143456699086459,0.2481948592592121,-0.1457348965364669,0.3929053998613894,0.1356552047917945,0.6023500725353048,-0.4975233703886304,-0.07579894892337424,-0.427828404062331,0.5025132723212477,0.1207870874767898
1987-01-01,1.580339036622806,-0.02572277839330671,0.8301957663344819,0.5968426095436026,0.6201068017077059,0.873303104843526,0.7690453190119452,-0.2310485917914773,0.6724195731974427,0.2815293634959965,0.4911371209361775,0.5358820718529032,0.6051171596620402,-0.5329468874402385,-0.170879876501907,-0.600941696451683,0.4253052323119491,0.02891859701424582
1987-02-01,1.90722696842918,0.3268769739306004,1.302516670771044,1.053708368102201,1.086997713859929,1.36910051405795,0.2168066548194086,-0.4873234014099475,0.3977156815617625,-0.01823389522549065,0.42778723409459,0.1160948022915665,0.6478045372343243,-0.4298540856860685,0.05532690089164294,-0.4001729086400392,0.6075021663006986,0.2209242973226426
1987-03-01,1.15014846378593,-0.9483543117217459,-0.1662557369960157,-0.4665834810963695,-0.4550338379312226,-0.04310297935953861,1.092290189881591,-0.636288041545733,0.2871220625689118,-0.09042260804390788,0.1029827489891106,0.2876691643307209,0.8720225918863893,-0.4895704922148719,-0.01037030958428266,-0.4983471332251567,0.5190615654163093,0.2551693335193487
1987-04-01,0.5281217404162755,0.3094397751711619,0.16297912479094,-0.3380721045240981,-0.3995475669451314,0.116996054246622,1.116231601447345,0.0899116338977973,0.6173717716705317,0.175148353413226,0.1831264720774812,0.6362892508881012,0.9798925724159612,-0.29379095837904,0.04505336706804859,-0.3767611738012572,0.5063255267171499,0.398210945513055
1987-05-01,1.629823717380553,-0.4418788920793433,-0.6058240380381346,-0.9344512071629394,-1.403061641991857,0.162146458978843,1.984802963566502,-0.1100724235832078,0.4006139487108017,-0.03388518625169216,-0.2633269825839626,0.9872870439624994,1.303694173669047,-0.6691353878753498,-0.1465458647259588,-0.530087444209463,-0.04129409905380829,0.3160496204448593
1987-06-01,1.190161409816721,0.1658891236417922,0.1984436315018057,0.298547441267917,-0.2201286960431131,0.5806244348337005,1.350110818818529,-0.4466196763891362,0.01823199111502501,-0.03121941975376167,-0.4732507496590944,0.4319616458502394,0.9836661020376087,-0.5542580801648078,0.1410787227732052,-0.1899072655541027,0.01525197449095409,0.3309285999222448
