piezometer_id,cluster_id,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
II/521/1,2,6,4,2000-07-01,2000-11-01,5,2000-10-01,-1.7047809048894011,-7.505425789803976,7.505425789803976,-1.5010851579607951,2001-05-01,7,True
II/521/1,2,6,5,2003-07-01,2004-04-01,10,2003-11-01,-2.2004105812100323,-15.350597411029517,15.350597411029517,-1.5350597411029516,2004-08-01,9,True
II/521/1,2,6,6,2006-01-01,2006-04-01,4,2006-03-01,-2.2004105812100323,-6.905354943995356,6.905354943995356,-1.726338735998839,,,False
II/521/1,2,6,7,2015-09-01,2015-09-01,1,2015-09-01,-1.0491313979639707,-1.0491313979639707,1.0491313979639707,-1.0491313979639707,2016-12-01,15,True
II/521/1,2,6,8,2015-11-01,2016-09-01,11,2016-01-01,-2.2004105812100323,-17.175088068496326,17.175088068496326,-1.561371642590575,2016-12-01,11,True
II/521/1,2,6,9,2019-08-01,2020-06-01,11,2019-12-01,-1.9145058250555573,-14.769447101092297,14.769447101092297,-1.3426770091902087,2020-07-01,7,True
II/521/1,2,6,10,2022-12-01,2022-12-01,1,2022-12-01,-1.0245923925400984,-1.0245923925400984,1.0245923925400984,-1.0245923925400984,2023-05-01,5,True
II/521/1,2,6,11,2023-10-01,2023-11-01,2,2023-10-01,-1.1153373577337864,-2.1399297502738848,2.1399297502738848,-1.0699648751369424,2024-02-01,4,True
II/521/1,2,12,1,1990-05-01,1990-06-01,2,1990-05-01,-1.0775155670402803,-2.1550311340805606,2.1550311340805606,-1.0775155670402803,1990-08-01,3,True
II/521/1,2,12,2,1992-07-01,1993-10-01,16,1993-03-01,-2.166106752892329,-29.796117565251897,29.796117565251897,-1.8622573478282436,1994-02-01,11,True
