date,SGI3_II/1271/1,SGI3_II/1272/1,SGI3_II/1273/1,SGI3_II/1274/1,SGI3_II/1274/2,SGI3_II/1276/1,SGI3_II/1285/1,SGI3_II/906/1,SGI3_II/908/1,SGI3_II/908/2,SGI3_II/521/1,SGI3_II/527/1,SGI3_II/1272/2,SGI3_II/1275/1,SGI3_II/797/1,SGI3_II/1065/1,SGI6_II/1271/1,SGI6_II/1272/1,SGI6_II/1273/1,SGI6_II/1274/1,SGI6_II/1274/2,SGI6_II/1276/1,SGI6_II/1285/1,SGI6_II/906/1,SGI6_II/908/1,SGI6_II/908/2,SGI6_II/521/1,SGI6_II/527/1,SGI6_II/1272/2,SGI6_II/1275/1,SGI6_II/797/1,SGI6_II/1065/1,SGI12_II/1271/1,SGI12_II/1272/1,SGI12_II/1273/1,SGI12_II/1274/1,SGI12_II/1274/2,SGI12_II/1276/1,SGI12_II/1285/1,SGI12_II/906/1,SGI12_II/908/1,SGI12_II/908/2,SGI12_II/521/1,SGI12_II/527/1,SGI12_II/1272/2,SGI12_II/1275/1,SGI12_II/797/1,SGI12_II/1065/1
1987-10-01,,,,,,,,,,,0.7981793433125925,0.5099284423942686,,,,,,,,,,,,,,,1.318164706070527,0.7117833971819928,,,,,,,,,,,,,,,1.523194990483642,0.9977102412869653,,,,
1987-11-01,,,,,,,,,,,1.414611542461627,0.6359222883648735,,,,,,,,,,,,,,,1.625025736518078,0.647465856725436,,,,,,,,,,,,,,,1.80932841124795,1.006738626654661,,,,
1987-12-01,,,,,,,,,,,1.886000871222683,0.716100190346203,,,,,,,,,,,,,,,1.522738726368894,0.6182306110633875,,,,,,,,,,,,,,,1.817503651841277,0.9555777762376664,,,,
1988-01-01,,,,,,,,,,,3.578167692416049,0.5099284423942686,,,,,,,,,,,,,,,2.497874889790816,0.5246778249447324,,,,,,,,,,,,,,,2.426559076039484,0.9134453111883676,,,,
1988-02-01,,,,,,,,,,,,0.8535480223141267,,,,,,,,,,,,,,,,0.76440683937373,,,,,,,,,,,,,,,,0.9585872380268984,,,,
1988-03-01,,,,,,,,,,,,1.598057112140535,,,,,,,,,,,,,,,,1.185394376907628,,,,,,,,,,,,,,,,1.07896570959628,,,,
1988-04-01,,,,,,,,,,,,2.205118369999019,,,,,,,,,,,,,,,,1.390041096542168,,,,,,,,,,,,,,,,1.087994094964027,,,,
1988-05-01,,,,,,,,,,,2.333216388252376,1.976038650052398,,,,,,,,,,,,,,,,1.448511587866265,,,,,,,,,,,,,,,,1.084984633174795,,,,
1988-06-01,,,,,,,,,,,1.813479436028643,1.334615434201957,,,,,,,,,,,,,,,,1.501135030058052,,,,,,,,,,,,,,,,1.097022480331723,,,,
1988-07-01,,,,,,,,,,,1.366263918999002,0.8077320783248025,,,,,,,,,,,,,,,,1.54206437398492,,,,,,,,,,,,,,,,1.069937324228584,,,,
