group,window_months,date,available_wells,total_group_wells,group_mean_SGI
1,3,2014-07-01,10,10,-0.11880841375359397
1,3,2014-08-01,10,10,-0.2713155872758045
1,3,2014-09-01,10,10,-0.2938654798103178
1,3,2014-10-01,10,10,-0.3189023352507176
1,3,2014-11-01,10,10,-0.3070219734306674
1,3,2014-12-01,10,10,0.01992568421337173
1,3,2015-01-01,10,10,0.09677608842727849
1,3,2015-02-01,10,10,0.09809823609854
1,3,2015-03-01,10,10,0.03465033751778849
1,3,2015-04-01,10,10,-0.11927291987357384
1,3,2015-05-01,10,10,-0.3455356534706923
1,3,2015-06-01,10,10,-0.3803277682166716
1,3,2015-07-01,10,10,-0.5756752045366357
1,3,2015-08-01,10,10,-0.5755186888059901
1,3,2015-09-01,10,10,-0.739450139415899
1,3,2015-10-01,10,10,-0.720089430014006
1,3,2015-11-01,10,10,-0.8645574242494511
1,3,2015-12-01,10,10,-1.118838345777311
1,3,2016-01-01,10,10,-1.0645441896873158
1,3,2016-02-01,10,10,-1.1333078836668178
1,3,2016-03-01,10,10,-1.2571166404960112
1,3,2016-04-01,10,10,-1.2851746201461214
1,3,2016-05-01,10,10,-1.2814497512137328
1,3,2016-06-01,10,10,-1.2084204666779765
1,3,2016-07-01,10,10,-0.9791993081363625
1,3,2016-08-01,10,10,-0.6914648886317025
1,3,2016-09-01,10,10,-0.5577039557897596
1,3,2016-10-01,10,10,-0.433210820115246
1,3,2016-11-01,10,10,-0.4179910546352083
1,3,2016-12-01,10,10,-0.29016223400996355
1,3,2017-01-01,10,10,-0.16816832599468484
1,3,2017-02-01,10,10,-0.21962890621921555
1,3,2017-03-01,10,10,-0.14877526344043263
1,3,2017-04-01,10,10,-0.1441822807843282
1,3,2017-05-01,10,10,-0.11901449184233674
1,3,2017-06-01,10,10,-0.24166403727588107
1,3,2017-07-01,10,10,-0.2089516755955024
1,3,2017-08-01,10,10,0.017348639615479004
1,3,2017-09-01,10,10,0.5545295208068278
1,3,2017-10-01,10,10,0.949345506601379
1,3,2017-11-01,10,10,1.1383742305242972
1,3,2017-12-01,10,10,1.0941558807768352
1,3,2018-01-01,10,10,1.127250755120136
1,3,2018-02-01,10,10,1.2140825578532386
1,3,2018-03-01,10,10,1.2662620900803916
1,3,2018-04-01,10,10,1.1830816050109534
1,3,2018-05-01,10,10,1.028434369116605
1,3,2018-06-01,10,10,0.7569915833266839
1,3,2018-07-01,10,10,0.5319098743970139
1,3,2018-08-01,10,10,0.2965189083081724
1,3,2018-09-01,10,10,0.11716578619245546
1,3,2018-10-01,10,10,0.08275896246745143
1,3,2018-11-01,10,10,-0.035013756348600454
1,3,2018-12-01,10,10,0.1341678275102581
1,3,2019-01-01,10,10,0.12704673298905234
1,3,2019-02-01,10,10,0.1389204704026036
1,3,2019-03-01,10,10,-0.19496448903035424
1,3,2019-04-01,10,10,-0.4690939617602951
1,3,2019-05-01,10,10,-0.6129219451480397
1,3,2019-06-01,10,10,-0.6964505246154807
1,3,2019-07-01,10,10,-0.8044729715661006
1,3,2019-08-01,10,10,-1.0281802342709523
1,3,2019-09-01,9,10,-1.052250213221243
1,3,2019-10-01,9,10,-1.1266069079020713
1,3,2019-11-01,9,10,-1.1835507634057238
