date,imgw_Zalesie,imgw_Trzemeszno,imgw_Pakość,imgw_Jaksice,imgw_Gębice
1995-09-01,93.1,101.0,150.4,156.6,118.9
1995-10-01,15.4,13.1,13.2,12.4,10.3
1995-11-01,91.5,17.6,13.7,12.5,17.0
1995-12-01,58.5,17.9,16.5,14.8,17.9
1996-01-01,27.6,15.1,12.9,15.3,11.9
1996-02-01,38.0,39.7,36.0,44.6,29.7
1996-03-01,61.2,7.2,5.1,9.2,8.4
1996-04-01,41.5,15.4,18.0,21.3,15.9
1996-05-01,122.8,117.0,77.1,89.6,95.5
1996-06-01,65.0,59.0,67.8,58.4,41.8
1996-07-01,118.2,163.6,111.6,125.4,77.4
1996-08-01,190.2,76.4,46.6,48.9,37.3
1996-09-01,232.1,61.3,42.1,38.4,56.6
1996-10-01,59.0,28.1,20.8,17.8,21.3
1996-11-01,32.2,22.9,21.8,19.3,19.0
1996-12-01,33.8,4.6,5.9,5.2,5.7
1997-01-01,16.1,4.9,1.0,3.9,1.4
1997-02-01,43.5,47.5,37.6,34.2,50.6
1997-03-01,58.1,26.2,23.7,26.5,20.4
1997-04-01,92.4,31.1,31.1,33.5,21.5
1997-05-01,123.5,62.5,58.1,66.5,41.4
1997-06-01,87.0,83.1,53.2,39.1,62.0
1997-07-01,,210.8,142.1,136.9,148.7
1997-08-01,,82.3,32.5,31.5,39.1
1997-09-01,,36.3,20.4,21.7,26.3
1997-10-01,,49.9,38.0,32.5,37.8
1997-11-01,,21.8,18.7,21.5,19.4
1997-12-01,,41.5,35.7,41.2,31.3
1998-01-01,,39.5,30.5,27.7,32.2
1998-02-01,,25.0,19.2,16.0,20.1
1998-03-01,,51.2,63.2,50.9,48.9
1998-04-01,,35.9,45.4,38.8,37.7
1998-05-01,,27.5,38.9,46.3,38.1
1998-06-01,,37.4,65.5,39.5,35.4
1998-07-01,,80.6,61.1,95.6,101.3
1998-08-01,,53.2,71.7,74.0,57.9
1998-09-01,,121.8,97.6,105.9,110.0
1998-10-01,,69.4,60.4,52.6,55.0
1998-11-01,,54.8,41.9,49.9,45.5
1998-12-01,,50.9,49.4,40.4,49.2
