date,SPI3_ZALESIE,SPI3_TRZEMESZNO,SPI3_PAKOŚĆ,SPI3_JAKSICE,SPI3_GĘBICE,SPI6_ZALESIE,SPI6_TRZEMESZNO,SPI6_PAKOŚĆ,SPI6_JAKSICE,SPI6_GĘBICE,SPI12_ZALESIE,SPI12_TRZEMESZNO,SPI12_PAKOŚĆ,SPI12_JAKSICE,SPI12_GĘBICE,sgi3_cluster_1,sgi3_cluster_2,sgi3_cluster_3,sgi6_cluster_1,sgi6_cluster_2,sgi6_cluster_3,sgi12_cluster_1,sgi12_cluster_2,sgi12_cluster_3
1990-01-01,0.2001950608257118,-0.4710998158373986,-0.6020908089181797,-0.9271288229766104,-0.6320196186546251,1.128412038663137,-1.472130118024139,-1.870350430583988,-2.158105308690593,-1.476422750300791,1.930877511344856,-2.369128248889448,-2.604902138455504,-2.978131562584633,-2.736872080635176,,-0.9544220072091572,,,-1.57996724815566,,,,
1990-02-01,-0.1051648678885731,-0.2282932053493276,-0.4331283562314006,-0.4859464204431763,-0.7193976824484158,0.9046077131042086,-1.041941738656365,-1.532860035976767,-1.818864337654512,-1.506132621126677,2.04761716594944,-2.374990170248892,-2.702199916208834,-3.017842117845617,-2.897337724168965,,-0.5434672077764848,,,-1.293563619737981,,,,
1990-03-01,0.4866249100241566,-1.357847749811924,-1.027831729872372,-1.110428916832221,-1.647532749412715,0.9282900537749499,-0.9426850713351884,-0.7263700960801067,-1.217512878576921,-1.113837191981216,2.106017529427386,-2.194120595882959,-2.667601217915406,-2.870119970074162,-2.707007206952043,,-0.3500767139257792,,,-0.9662451872606755,,,,
1990-04-01,2.048872110554331,-0.1685530166151116,-0.1733937638066298,0.03301507929065736,-0.3592816977539111,1.582871619909452,-0.5238188072592727,-0.597132436271969,-0.766999841096669,-0.7509189281954441,2.28839933668043,-1.954301334119446,-2.491271327865107,-2.64559769308429,-2.384008977287051,,-0.337989808060123,,,-0.7002989608728682,,,,
1990-05-01,1.716682935348093,-0.3774599444331819,-0.9459678474663823,-0.3636244680401447,-0.5536991972601619,1.341240430038833,-0.437600072665312,-0.9490053161517383,-0.6837351362980926,-0.8559362916055437,2.069576778705188,-1.698981916211627,-2.29066737395795,-2.337535249576515,-2.109146139716896,,-0.144376242516174,,,-0.4957249405745594,,,-1.252299190929877,
1990-06-01,1.664639742652543,0.3601603874586386,0.4251377747220087,-0.04357777234311704,-0.01833412433888501,1.508598191510811,-0.4643398480506099,-0.2308928608120406,-0.6468249470557743,-0.8605114638817359,1.801065434692508,-1.70305968559694,-1.774277710690976,-2.283444075743072,-1.959891422835604,,-0.1978179391091969,,,-0.427533600475065,,,-1.260474431523204,
1990-07-01,0.6360257167250678,-0.1197153879500024,-0.1084637101586048,-0.5643725383379726,-0.1963379367758169,1.537441201697946,-0.2354992407045846,-0.2520380282474962,-0.573775940392449,-0.4344389798681312,1.56333247894833,-1.127601182485631,-1.443195149598477,-1.855067265378088,-1.197953074133976,,0.5292951724358859,,,0.4384964187877933,,,-0.6514190073249284,
1990-08-01,0.8091357213509771,-0.3811179444100282,0.2073830860975052,-0.7306680132971648,-0.05081763855470216,1.459804690242491,-0.5438915817706714,-0.3641826607803334,-0.8645182301360919,-0.3969928655193843,1.436770671821936,-1.074927257853535,-1.179709902891955,-1.744489344448206,-1.073191007972179,,0.4828463085781984,,,0.2067830825763485,,,-0.5042646766461456,
1990-09-01,1.629711381849807,-0.1103720046219296,-0.2473044539789926,-0.4636320926713842,0.1077114261380503,1.840870196360354,0.06186232388818699,-0.01255585484248773,-0.4627329385591605,0.02184250877649144,1.726108706312064,-0.4374128378195823,-0.3922596847029794,-0.9790932007231621,-0.489949868973131,,0.2853111213997038,,,0.06795565031641873,,,-0.4429503721966411,
1990-10-01,1.435276643079688,0.7173401221602603,0.4824902868508891,-0.0363222250283142,0.6265311392784986,1.232141186525614,0.2692250604448327,0.1828573004100792,-0.5230811455526824,0.1691155741004256,1.490785364474538,-0.03727212367863007,-0.1777894843305295,-0.8849493430984817,-0.230537166097763,,-0.7214138389101417,1.853245426889897,,-0.08548940477456445,,,-0.4184246504168673,
