field,n,ME,MAE,RMSE,Pearson_r,observed_min,observed_max,predicted_min,predicted_max
VUL_N,16,-0.002427335123351534,0.2112237212003339,0.31657607085576245,-0.1949828362489902,0.0,1.0,0.02050584,0.7449401
CRS_INV,16,0.015701579267997402,0.28675210074627094,0.34398692477260456,0.10849050188254987,0.0,1.0,0.073991962,0.78070438
MAXDUR_N,16,0.0003128469527438997,0.21273238205945122,0.31488123859117245,-0.15621493380826523,0.0,1.0,0.029872851,0.75171685
