aquifer_group_id,aquifer_group,precipitation_station,sgi_scale,spi_scale,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,N_Lag_0,N_Lag_1,N_Lag_2,N_Lag_3,N_Lag_4,N_Lag_5,N_Lag_6,N_Lag_7,N_Lag_8,N_Lag_9,N_Lag_10,N_Lag_11,N_Lag_12,maximum_correlation_lag_months,maximum_correlation_r,maximum_correlation_n
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,0.06949659210985805,0.16848428885500047,0.21905918407189376,0.2479582613506533,0.27387458701916917,0.3081248921434134,0.30779651287788956,0.3040414679525968,0.30570830768082796,0.31957031990026985,0.3109075962638337,0.30382202940322856,0.28630922388793906,224,224,224,224,224,224,224,224,224,224,224,224,224,9,0.31957031990026985,224
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,0.14407642207574112,0.2417229979675236,0.3155696666306025,0.38228764931085496,0.4346542131599567,0.47528067766746573,0.4898756848657634,0.4842875805642863,0.488125979639174,0.49087431377197127,0.4842298682046561,0.47101212865396136,0.44735501522886073,220,220,220,220,220,220,220,220,220,220,220,220,220,9,0.49087431377197127,220
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,0.22016976597735421,0.3052754893736735,0.38210415034921874,0.44927415222297507,0.5073015334498072,0.5569747689798936,0.5994062127637986,0.6264423337322473,0.6426999307589969,0.6513002179889471,0.6392397722211669,0.6162895950677137,0.5797842955983291,208,208,208,208,208,208,208,208,208,208,208,208,208,9,0.6513002179889471,208
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,0.18499201155102207,0.2572335174846353,0.27204669101243667,0.2708905262651674,0.26070175779770266,0.26736717106145114,0.24570973408750982,0.22956184233475557,0.21828836752165234,0.21514194467075487,0.21509191036421038,0.2167529268840961,0.21406593832640539,387,386,385,384,383,382,382,382,382,381,380,379,378,2,0.27204669101243667,385
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,0.21755834564074394,0.26160900129275305,0.2805183357422211,0.29655113603588623,0.3102769579023725,0.324749319294614,0.32336876546479654,0.31122443155226015,0.3044196782912035,0.28682243294276877,0.2659457832038948,0.24284407650176554,0.22935513167605417,366,364,362,361,361,361,361,361,361,360,359,358,357,5,0.324749319294614,361
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,0.1598443793142545,0.19633611575938295,0.2278484955423007,0.25122384270243736,0.26546684469750376,0.2725374416335342,0.2808015087003596,0.27882087635264996,0.26546468331818135,0.24144869023955595,0.21198122547972614,0.17976746138970012,0.1425912310091164,331,330,329,328,327,326,325,324,323,321,320,319,318,6,0.2808015087003596,325
3,Deep confined aquifer,Pakość,SGI-3,SPI-3,-0.04413837394792483,-0.016695632823145685,0.010229896150422312,0.029432963286416595,0.049901097551966,0.07810547327596229,0.1019232564000377,0.11746343333296828,0.13447998475605755,0.15264876892124515,0.16956922833189528,0.17456504503857673,0.18495818060117505,347,347,347,347,347,347,347,347,347,347,347,347,347,12,0.18495818060117505,347
3,Deep confined aquifer,Pakość,SGI-6,SPI-6,-0.013846962991189307,0.020503975264963847,0.051873527120606076,0.08142400678356071,0.10677331525194336,0.14038691268496095,0.1604038300199848,0.1802145087010602,0.2040239059260523,0.22416020843536313,0.2483860828171769,0.27344287561392977,0.2946908732013125,335,335,335,335,335,335,335,335,335,335,335,335,335,12,0.2946908732013125,335
3,Deep confined aquifer,Pakość,SGI-12,SPI-12,0.06149334341158346,0.08057277695546679,0.10234560040468617,0.12152548632358613,0.14329722964730232,0.17042396609655872,0.19566109054875483,0.22121397016643848,0.2542309423474331,0.2845586079931626,0.3157794803432401,0.3492865545771013,0.37625754257561705,313,313,313,313,313,313,313,313,313,313,313,313,313,12,0.37625754257561705,313
