feature_id,lake_name,x_coord_2180,y_coord_2180
1,Staw Kardynalski,414220.9507,586891.0278
1,Staw Kardynalski,414222.7718,586886.3665
1,Staw Kardynalski,414224.3078,586880.4989
1,Staw Kardynalski,414225.0307,586875.4655
1,Staw Kardynalski,414224.9582,586871.5118
1,Staw Kardynalski,414224.4107,586868.6447
1,Staw Kardynalski,414221.1036,586860.258
1,Staw Kardynalski,414218.7178,586854.6634
1,Staw Kardynalski,414217.6075,586850.847
1,Staw Kardynalski,414216.7352,586844.8684
1,Staw Kardynalski,414216.6977,586839.8261
1,Staw Kardynalski,414217.4173,586834.9456
1,Staw Kardynalski,414221.6915,586822.6191
1,Staw Kardynalski,414223.5891,586813.8321
1,Staw Kardynalski,414225.7455,586799.9903
1,Staw Kardynalski,414226.4835,586789.0224
1,Staw Kardynalski,414226.2514,586783.0043
1,Staw Kardynalski,414225.3104,586776.0886
1,Staw Kardynalski,414223.7603,586768.166
1,Staw Kardynalski,414222.0862,586762.3778
1,Staw Kardynalski,414218.8385,586755.1486
1,Staw Kardynalski,414212.8391,586744.8215
1,Staw Kardynalski,414206.6435,586735.4771
1,Staw Kardynalski,414192.8756,586714.7122
1,Staw Kardynalski,414188.109,586708.2995
1,Staw Kardynalski,414183.283,586703.3164
1,Staw Kardynalski,414177.7757,586698.9385
1,Staw Kardynalski,414170.9897,586694.6516
1,Staw Kardynalski,414162.1594,586690.0097
1,Staw Kardynalski,414149.3404,586684.3222
1,Staw Kardynalski,414130.61,586677.2948
1,Staw Kardynalski,414116.3561,586672.5453
1,Staw Kardynalski,414103.8398,586669.1788
1,Staw Kardynalski,414095.0477,586667.4813
1,Staw Kardynalski,414084.1381,586666.1238
1,Staw Kardynalski,414056.187,586663.8924
1,Staw Kardynalski,414045.1903,586663.3873
1,Staw Kardynalski,414037.2098,586663.5512
1,Staw Kardynalski,414022.2806,586664.627
1,Staw Kardynalski,413988.4793,586668.1718
1,Staw Kardynalski,413934.9883,586675.169
1,Staw Kardynalski,413864.7676,586685.1902
1,Staw Kardynalski,413808.4674,586693.7609
1,Staw Kardynalski,413780.9705,586698.9622
1,Staw Kardynalski,413763.377,586702.7935
1,Staw Kardynalski,413751.7932,586705.8359
1,Staw Kardynalski,413742.2893,586708.8402
1,Staw Kardynalski,413707.8943,586722.5021
1,Staw Kardynalski,413693.7059,586727.2307
1,Staw Kardynalski,413682.0893,586730.1268
1,Staw Kardynalski,413652.7389,586736.3694
1,Staw Kardynalski,413616.9458,586745.8003
1,Staw Kardynalski,413608.1803,586747.6586
1,Staw Kardynalski,413602.282,586748.5591
1,Staw Kardynalski,413592.2901,586749.0588
1,Staw Kardynalski,413570.151,586748.6956
1,Staw Kardynalski,413563.1042,586748.2867
1,Staw Kardynalski,413558.1898,586747.5545
1,Staw Kardynalski,413553.44,586746.2793
1,Staw Kardynalski,413547.0137,586743.7535
1,Staw Kardynalski,413540.7407,586740.6961
1,Staw Kardynalski,413521.2254,586730.2296
1,Staw Kardynalski,413514.818,586727.4302
1,Staw Kardynalski,413508.1551,586725.0109
1,Staw Kardynalski,413501.3369,586723.2992
1,Staw Kardynalski,413496.9248,586722.861
1,Staw Kardynalski,413495.4595,586722.7155
1,Staw Kardynalski,413488.4106,586723.0454
1,Staw Kardynalski,413482.4142,586724.1412
1,Staw Kardynalski,413478.5812,586725.2857
1,Staw Kardynalski,413471.092,586728.1493
1,Staw Kardynalski,413461.7969,586732.3953
1,Staw Kardynalski,413454.96,586736.6239
1,Staw Kardynalski,413449.7914,586741.1363
1,Staw Kardynalski,413444.5841,586747.0034
1,Staw Kardynalski,413443.2642,586748.7639
1,Staw Kardynalski,413439.2184,586754.1599
1,Staw Kardynalski,413425.4044,586775.2939
1,Staw Kardynalski,413411.7585,586795.3183
1,Staw Kardynalski,413406.6952,586801.3959
1,Staw Kardynalski,413403.8026,586803.9918
1,Staw Kardynalski,413401.3806,586805.6754
1,Staw Kardynalski,413394.1156,586809.2156
1,Staw Kardynalski,413383.5351,586812.5948
1,Staw Kardynalski,413372.8411,586815.0101
1,Staw Kardynalski,413353.1091,586818.4964
1,Staw Kardynalski,413306.9992,586827.4357
1,Staw Kardynalski,413289.2683,586830.3468
1,Staw Kardynalski,413276.3657,586831.8783
1,Staw Kardynalski,413262.4001,586832.8698
1,Staw Kardynalski,413245.4289,586833.3617
1,Staw Kardynalski,413227.4309,586833.4258
1,Staw Kardynalski,413211.4469,586833.0004
1,Staw Kardynalski,413188.5538,586831.3105
1,Staw Kardynalski,413119.0124,586823.5588
1,Staw Kardynalski,413104.2846,586823.0941
1,Staw Kardynalski,413102.0652,586823.0241
1,Staw Kardynalski,413079.0922,586823.3612
1,Staw Kardynalski,413030.1188,586824.9805
1,Staw Kardynalski,413016.1797,586826.0363
1,Staw Kardynalski,412973.7711,586832.7383
1,Staw Kardynalski,412922.6912,586842.3307
1,Staw Kardynalski,412892.3738,586848.6322
1,Staw Kardynalski,412812.374,586866.2824
1,Staw Kardynalski,412792.7705,586870.1682
1,Staw Kardynalski,412776.9745,586872.7058
1,Staw Kardynalski,412758.1113,586874.6562
1,Staw Kardynalski,412736.1339,586875.5929
1,Staw Kardynalski,412709.1206,586875.4416
1,Staw Kardynalski,412700.1272,586874.9423
1,Staw Kardynalski,412692.196,586874.112
1,Staw Kardynalski,412682.4312,586872.2433
1,Staw Kardynalski,412664.141,586866.9883
1,Staw Kardynalski,412657.3345,586865.3685
1,Staw Kardynalski,412566.0063,586848.3064
1,Staw Kardynalski,412549.1125,586845.5002
1,Staw Kardynalski,412542.2944,586843.9555
1,Staw Kardynalski,412535.7233,586841.7787
1,Staw Kardynalski,412525.8315,586837.1888
1,Staw Kardynalski,412514.4926,586830.795
1,Staw Kardynalski,412494.2129,586817.8037
1,Staw Kardynalski,412482.7094,586809.78
1,Staw Kardynalski,412474.8463,586803.5856
1,Staw Kardynalski,412467.4528,586796.9141
1,Staw Kardynalski,412461.2877,586790.4033
1,Staw Kardynalski,412452.1919,586779.7396
1,Staw Kardynalski,412437.6173,586762.9576
1,Staw Kardynalski,412434.4721,586760.7043
1,Staw Kardynalski,412430.8632,586759.2241
1,Staw Kardynalski,412423.9887,586757.4523
1,Staw Kardynalski,412416.8925,586756.7482
1,Staw Kardynalski,412402.6201,586757.1969
1,Staw Kardynalski,412392.3915,586758.4639
1,Staw Kardynalski,412385.7641,586760.2945
1,Staw Kardynalski,412380.6901,586762.7613
1,Staw Kardynalski,412376.1248,586766.6106
1,Staw Kardynalski,412371.5667,586772.4297
1,Staw Kardynalski,412368.0934,586778.8508
1,Staw Kardynalski,412366.2294,586784.3159
1,Staw Kardynalski,412365.758,586790.306
1,Staw Kardynalski,412366.6548,586797.563
1,Staw Kardynalski,412368.2817,586803.4226
1,Staw Kardynalski,412368.3883,586803.7052
1,Staw Kardynalski,412371.7752,586812.6843
1,Staw Kardynalski,412375.8555,586821.8151
1,Staw Kardynalski,412380.7932,586831.7211
1,Staw Kardynalski,412393.2052,586854.6068
1,Staw Kardynalski,412418.807,586897.5413
1,Staw Kardynalski,412424.4258,586908.118
1,Staw Kardynalski,412432.2937,586924.2735
1,Staw Kardynalski,412464.6233,586992.947
1,Staw Kardynalski,412531.0843,587138.3527
1,Staw Kardynalski,412574.4526,587241.2955
1,Staw Kardynalski,412578.1673,587250.7461
1,Staw Kardynalski,412580.308,587255.266
1,Staw Kardynalski,412582.9726,587259.3513
1,Staw Kardynalski,412585.6077,587262.3692
1,Staw Kardynalski,412588.6545,587265.1528
1,Staw Kardynalski,412592.0477,587267.4768
1,Staw Kardynalski,412594.7807,587268.7827
1,Staw Kardynalski,412645.8938,587281.8913
1,Staw Kardynalski,412682.8449,587290.6583
1,Staw Kardynalski,412721.9041,587299.464
1,Staw Kardynalski,412768.8711,587309.5652
1,Staw Kardynalski,412808.9967,587317.7965
1,Staw Kardynalski,412851.219,587325.6762
1,Staw Kardynalski,412954.5352,587343.8929
1,Staw Kardynalski,413135.2361,587377.7458
1,Staw Kardynalski,413185.1667,587387.8347
1,Staw Kardynalski,413226.1469,587396.759
1,Staw Kardynalski,413262.0129,587405.7115
1,Staw Kardynalski,413335.3347,587425.6388
1,Staw Kardynalski,413367.2484,587433.8538
1,Staw Kardynalski,413392.5299,587439.6441
1,Staw Kardynalski,413402.3869,587441.27
1,Staw Kardynalski,413413.3226,587442.5727
1,Staw Kardynalski,413442.2586,587444.5378
1,Staw Kardynalski,413451.2426,587444.496
1,Staw Kardynalski,413462.2383,587443.8771
1,Staw Kardynalski,413515.0228,587439.5106
1,Staw Kardynalski,413550.8311,587436.108
1,Staw Kardynalski,413577.6286,587433.0624
1,Staw Kardynalski,413625.1766,587426.9063
1,Staw Kardynalski,413765.6765,587407.2873
1,Staw Kardynalski,413820.1365,587400.0055
1,Staw Kardynalski,413912.3227,587388.4807
1,Staw Kardynalski,414119.5993,587363.3979
1,Staw Kardynalski,414214.7431,587351.3624
1,Staw Kardynalski,414229.9236,587350.9331
1,Staw Kardynalski,414235.7636,587350.0527
1,Staw Kardynalski,414241.3005,587348.071
1,Staw Kardynalski,414246.7347,587345.5686
