feature_name,feature_code,gde_class,x_coord_2180,y_coord_2180
Dolina Prodkowej Noteci i Kana,PLB300001,2,403055.38,583414.3201
Dolina Prodkowej Noteci i Kana,PLB300001,2,403046.0901,583437.4501
Dolina Prodkowej Noteci i Kana,PLB300001,2,403019.96,583424.3101
Dolina Prodkowej Noteci i Kana,PLB300001,2,402947.5001,583390.2901
Dolina Prodkowej Noteci i Kana,PLB300001,2,402945.8801,583389.9501
Dolina Prodkowej Noteci i Kana,PLB300001,2,402917.7601,583375.64
Dolina Prodkowej Noteci i Kana,PLB300001,2,402894.2601,583368.4101
Dolina Prodkowej Noteci i Kana,PLB300001,2,402856.63,583365.1502
Dolina Prodkowej Noteci i Kana,PLB300001,2,402765.0401,583359.5101
Dolina Prodkowej Noteci i Kana,PLB300001,2,402720.0401,583347.3
Dolina Prodkowej Noteci i Kana,PLB300001,2,402675.5301,583334.2901
Dolina Prodkowej Noteci i Kana,PLB300001,2,402647.15,583325.06
Dolina Prodkowej Noteci i Kana,PLB300001,2,402608.0801,583314.1002
Dolina Prodkowej Noteci i Kana,PLB300001,2,402587.2701,583308.19
Dolina Prodkowej Noteci i Kana,PLB300001,2,402551.6601,583297.49
Dolina Prodkowej Noteci i Kana,PLB300001,2,402475.8901,583275.9101
Dolina Prodkowej Noteci i Kana,PLB300001,2,402441.77,583265.2101
Dolina Prodkowej Noteci i Kana,PLB300001,2,402403.55,583254.41
Dolina Prodkowej Noteci i Kana,PLB300001,2,402393.2851,583251.5051
Dolina Prodkowej Noteci i Kana,PLB300001,2,402383.02,583248.6002
Dolina Prodkowej Noteci i Kana,PLB300001,2,402317.03,583229.6501
Dolina Prodkowej Noteci i Kana,PLB300001,2,402225.73,583204.0301
Dolina Prodkowej Noteci i Kana,PLB300001,2,402114.0901,583172.2502
Dolina Prodkowej Noteci i Kana,PLB300001,2,402122.15,583121.29
Dolina Prodkowej Noteci i Kana,PLB300001,2,402069.7199,583106.2202
Dolina Prodkowej Noteci i Kana,PLB300001,2,402053.3601,583156.2502
Dolina Prodkowej Noteci i Kana,PLB300001,2,402033.73,583150.7401
Dolina Prodkowej Noteci i Kana,PLB300001,2,401971.7301,583133.3001
Dolina Prodkowej Noteci i Kana,PLB300001,2,401977.7501,583119.5802
Dolina Prodkowej Noteci i Kana,PLB300001,2,402007.3301,583052.24
Dolina Prodkowej Noteci i Kana,PLB300001,2,401911.8699,583030.4102
Dolina Prodkowej Noteci i Kana,PLB300001,2,401895.57,583027.2002
Dolina Prodkowej Noteci i Kana,PLB300001,2,401883.2301,583023.8701
Dolina Prodkowej Noteci i Kana,PLB300001,2,401855.22,583017.6102
Dolina Prodkowej Noteci i Kana,PLB300001,2,401822.29,583010.8801
Dolina Prodkowej Noteci i Kana,PLB300001,2,401803.07,583057.9902
Dolina Prodkowej Noteci i Kana,PLB300001,2,401791.35,583086.7101
Dolina Prodkowej Noteci i Kana,PLB300001,2,401753.1301,583077.2302
Dolina Prodkowej Noteci i Kana,PLB300001,2,401735.8901,583072.9402
Dolina Prodkowej Noteci i Kana,PLB300001,2,401683.86,583061.2301
Dolina Prodkowej Noteci i Kana,PLB300001,2,401666.9,583056.4901
Dolina Prodkowej Noteci i Kana,PLB300001,2,401646.5701,583051.54
Dolina Prodkowej Noteci i Kana,PLB300001,2,401575.63,583031.4902
Dolina Prodkowej Noteci i Kana,PLB300001,2,401579.92,583020.6601
Dolina Prodkowej Noteci i Kana,PLB300001,2,401567.8701,583016.4001
Dolina Prodkowej Noteci i Kana,PLB300001,2,401562.68,583027.87
Dolina Prodkowej Noteci i Kana,PLB300001,2,401534.2199,583019.7502
Dolina Prodkowej Noteci i Kana,PLB300001,2,401477.78,583008.1702
Dolina Prodkowej Noteci i Kana,PLB300001,2,401434.0199,583007.8601
Dolina Prodkowej Noteci i Kana,PLB300001,2,401454.0001,582956.51
Dolina Prodkowej Noteci i Kana,PLB300001,2,401401.2799,582952.77
Dolina Prodkowej Noteci i Kana,PLB300001,2,401418.7501,582921.3801
Dolina Prodkowej Noteci i Kana,PLB300001,2,401391.7401,582922.3001
Dolina Prodkowej Noteci i Kana,PLB300001,2,401372.3001,582922.9701
Dolina Prodkowej Noteci i Kana,PLB300001,2,401345.01,582909.9601
Dolina Prodkowej Noteci i Kana,PLB300001,2,401334.7299,582914.2301
Dolina Prodkowej Noteci i Kana,PLB300001,2,401326.32,582919.9701
Dolina Prodkowej Noteci i Kana,PLB300001,2,401322.1101,582920.91
Dolina Prodkowej Noteci i Kana,PLB300001,2,401321.7801,582921.7401
Dolina Prodkowej Noteci i Kana,PLB300001,2,401318.15,582930.68
Dolina Prodkowej Noteci i Kana,PLB300001,2,401308.9,582953.5402
Dolina Prodkowej Noteci i Kana,PLB300001,2,401276.9201,582944.0902
Dolina Prodkowej Noteci i Kana,PLB300001,2,401266.53,582973.3501
Dolina Prodkowej Noteci i Kana,PLB300001,2,401240.4501,582964.7302
Dolina Prodkowej Noteci i Kana,PLB300001,2,401219.5699,582958.09
Dolina Prodkowej Noteci i Kana,PLB300001,2,401196.92,582950.8702
Dolina Prodkowej Noteci i Kana,PLB300001,2,401186.05,582947.1402
Dolina Prodkowej Noteci i Kana,PLB300001,2,401151.9901,582935.4401
Dolina Prodkowej Noteci i Kana,PLB300001,2,401168.29,582894.0802
Dolina Prodkowej Noteci i Kana,PLB300001,2,401163.0401,582892.3801
Dolina Prodkowej Noteci i Kana,PLB300001,2,401139.6,582885.3901
Dolina Prodkowej Noteci i Kana,PLB300001,2,401123.59,582925.6102
Dolina Prodkowej Noteci i Kana,PLB300001,2,401111.89,582922.2202
Dolina Prodkowej Noteci i Kana,PLB300001,2,401099.19,582918.5401
Dolina Prodkowej Noteci i Kana,PLB300001,2,401094.1801,582917.0801
Dolina Prodkowej Noteci i Kana,PLB300001,2,401066.84,582909.1401
Dolina Prodkowej Noteci i Kana,PLB300001,2,401057.6701,582905.8402
Dolina Prodkowej Noteci i Kana,PLB300001,2,400990.8,582881.8102
Dolina Prodkowej Noteci i Kana,PLB300001,2,400987.59,582880.6501
Dolina Prodkowej Noteci i Kana,PLB300001,2,400949.1201,582866.82
Dolina Prodkowej Noteci i Kana,PLB300001,2,400912.67,582854.36
Dolina Prodkowej Noteci i Kana,PLB300001,2,400886.41,582845.8602
Dolina Prodkowej Noteci i Kana,PLB300001,2,400868.07,582839.93
Dolina Prodkowej Noteci i Kana,PLB300001,2,400864.27,582838.7
Dolina Prodkowej Noteci i Kana,PLB300001,2,400856.1599,582836.0702
Dolina Prodkowej Noteci i Kana,PLB300001,2,400854.0299,582835.3802
Dolina Prodkowej Noteci i Kana,PLB300001,2,400840.43,582830.9701
Dolina Prodkowej Noteci i Kana,PLB300001,2,400826.8099,582825.2302
Dolina Prodkowej Noteci i Kana,PLB300001,2,400836.83,582805.06
Dolina Prodkowej Noteci i Kana,PLB300001,2,400837.77,582803.18
Dolina Prodkowej Noteci i Kana,PLB300001,2,400843.29,582792.09
Dolina Prodkowej Noteci i Kana,PLB300001,2,400850.57,582777.43
Dolina Prodkowej Noteci i Kana,PLB300001,2,400859.73,582754.68
Dolina Prodkowej Noteci i Kana,PLB300001,2,400869.12,582731.34
Dolina Prodkowej Noteci i Kana,PLB300001,2,400901.52,582650.85
Dolina Prodkowej Noteci i Kana,PLB300001,2,400918.0192,582612.244
Dolina Prodkowej Noteci i Kana,PLB300001,2,400829.02,582617.55
Dolina Prodkowej Noteci i Kana,PLB300001,2,400602.9,582523.39
Dolina Prodkowej Noteci i Kana,PLB300001,2,400586.6101,582501.1188
Dolina Prodkowej Noteci i Kana,PLB300001,2,400160.6301,582318.5559
Dolina Prodkowej Noteci i Kana,PLB300001,2,400086.5467,582453.4938
Dolina Prodkowej Noteci i Kana,PLB300001,2,399853.7128,582360.8894
Dolina Prodkowej Noteci i Kana,PLB300001,2,399594.4206,582244.4725
Dolina Prodkowej Noteci i Kana,PLB300001,2,399351.0035,582072.493
Dolina Prodkowej Noteci i Kana,PLB300001,2,399057.2978,581910.0649
Dolina Prodkowej Noteci i Kana,PLB300001,2,399001.7528,581879.3468
Dolina Prodkowej Noteci i Kana,PLB300001,2,398803.3149,581770.8675
Dolina Prodkowej Noteci i Kana,PLB300001,2,398596.9394,581699.4298
Dolina Prodkowej Noteci i Kana,PLB300001,2,398372.0433,581508.9295
Dolina Prodkowej Noteci i Kana,PLB300001,2,398312.7418,581468.6044
Dolina Prodkowej Noteci i Kana,PLB300001,2,398238.79,581480.26
Dolina Prodkowej Noteci i Kana,PLB300001,2,398170.58,581498.24
Dolina Prodkowej Noteci i Kana,PLB300001,2,398034.32,581545.87
Dolina Prodkowej Noteci i Kana,PLB300001,2,397947.1334,581640.5439
Dolina Prodkowej Noteci i Kana,PLB300001,2,397638.29,581975.91
Dolina Prodkowej Noteci i Kana,PLB300001,2,397443.03,582180.7
Dolina Prodkowej Noteci i Kana,PLB300001,2,397341.96,582318.99
Dolina Prodkowej Noteci i Kana,PLB300001,2,397132.4894,582618.2209
Dolina Prodkowej Noteci i Kana,PLB300001,2,396957.78,582867.79
Dolina Prodkowej Noteci i Kana,PLB300001,2,396935.32,582896.03
Dolina Prodkowej Noteci i Kana,PLB300001,2,396913.43,582905.49
Dolina Prodkowej Noteci i Kana,PLB300001,2,396908.1,582922.46
Dolina Prodkowej Noteci i Kana,PLB300001,2,396903.7775,582938.011
Dolina Prodkowej Noteci i Kana,PLB300001,2,396890.4,582943.28
Dolina Prodkowej Noteci i Kana,PLB300001,2,396867.45,582958.41
Dolina Prodkowej Noteci i Kana,PLB300001,2,396759.09,583264.41
Dolina Prodkowej Noteci i Kana,PLB300001,2,396704.85,583456.24
Dolina Prodkowej Noteci i Kana,PLB300001,2,396646.4497,583683.1358
Dolina Prodkowej Noteci i Kana,PLB300001,2,396646.1703,583684.2189
Dolina Prodkowej Noteci i Kana,PLB300001,2,396614.76,583806.28
Dolina Prodkowej Noteci i Kana,PLB300001,2,396619.52,583857.08
Dolina Prodkowej Noteci i Kana,PLB300001,2,396625.87,583901.0
Dolina Prodkowej Noteci i Kana,PLB300001,2,396643.33,583944.92
Dolina Prodkowej Noteci i Kana,PLB300001,2,396657.48,583966.1501
Dolina Prodkowej Noteci i Kana,PLB300001,2,396662.38,583973.5
Dolina Prodkowej Noteci i Kana,PLB300001,2,396663.14,583977.99
Dolina Prodkowej Noteci i Kana,PLB300001,2,396664.78,583987.64
Dolina Prodkowej Noteci i Kana,PLB300001,2,396668.75,584036.85
Dolina Prodkowej Noteci i Kana,PLB300001,2,396643.88,584174.97
Dolina Prodkowej Noteci i Kana,PLB300001,2,396624.3,584271.28
Dolina Prodkowej Noteci i Kana,PLB300001,2,396615.3,584318.9
Dolina Prodkowej Noteci i Kana,PLB300001,2,396622.71,584342.18
Dolina Prodkowej Noteci i Kana,PLB300001,2,396640.7,584358.06
Dolina Prodkowej Noteci i Kana,PLB300001,2,396664.72,584364.15
Dolina Prodkowej Noteci i Kana,PLB300001,2,396731.08,584365.63
Dolina Prodkowej Noteci i Kana,PLB300001,2,396811.3,584368.31
Dolina Prodkowej Noteci i Kana,PLB300001,2,396982.69,584348.03
